nameList,gianName,flag
"加藤紘一君,森喜朗君,山崎拓君,小杉隆君,玉沢徳一郎君,坂本三十次君,谷川和穗君,村田敬次郎君,綿貫民輔君,臼井日出男君,白川勝彦君,武部勤君,村上誠一郎君,虎島和夫君,大野功統君,伊藤茂君,秋葉忠利君,武村正義君",政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,0
"加藤紘一君,森喜朗君,山崎拓君,小杉隆君,玉沢徳一郎君,坂本三十次君,谷川和穗君,村田敬次郎君,綿貫民輔君,臼井日出男君,白川勝彦君,武部勤君,村上誠一郎君,虎島和夫君,大野功統君,伊藤茂君,秋葉忠利君,武村正義君",政治倫理の確立のための国会議員の仮名による株取引等の禁止に関する法律案,0
"小川元君,杉浦正健君,保坂展人君,武村正義君",国家公務員倫理法案,0
"小川元君,杉浦正健君,保坂展人君,武村正義君",自衛隊員倫理法案,0
"山本孝史君,生方幸夫君,北村哲男君,今田保典君,佐々木秀典君,田中慶秋君,樽床伸二君,藤田幸久君,山花貞夫君",国会議員の地位利用収賄等の処罰に関する法律案,0
"佐々木秀典君,中沢健次君,鹿野道彦君,池端清一君,生方幸夫君",北海道東北開発公庫法の一部を改正する法律案,0
"遠藤和良君,石田幸四郎君,倉田栄喜君,坂口力君,西川知雄君",国会議員等の地位利用収賄等の処罰等に関する法律案,0
"遠藤和良君,石田幸四郎君,倉田栄喜君,坂口力君,西川知雄君",政治倫理の確立のための国会議員の仮名による株取引等の禁止等に関する法律案,0
"遠藤和良君,石田幸四郎君,倉田栄喜君,坂口力君,西川知雄君",政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,0
"田中甲君,島聡君,原口一博君,松沢成文君",公職選挙法の一部を改正する法律案,0
"笹木竜三君,河村たかし君,石田勝之君,枝野幸男君,深田肇君,古川元久君,若松謙維君",行政評価基本法案,0
"保岡興治君,杉浦正健君,山本幸三君,渡辺喜美君",債権管理回収業に関する特別措置法案,0
"保岡興治君,杉浦正健君,山本幸三君,渡辺喜美君",金融機関等が有する根抵当権により担保される債権の譲渡の円滑化のための臨時措置に関する法律案,0
"保岡興治君,石原伸晃君,衛藤晟一君,村井仁君,横内正明君",競売手続の円滑化等を図るための関係法律の整備に関する法律案,0
"保岡興治君,石原伸晃君,衛藤晟一君,村井仁君,横内正明君",特定競売手続における現況調査及び評価等の特例に関する臨時措置法案,0
"菅直人君,神崎武法君,小沢一郎君,伊藤英成君,坂口力君,野田毅君,池田元久君,枝野幸男君,古川元久君,石井啓一君,西川知雄君,谷口隆義君,鈴木淑夫君",金融機能の再生のための緊急措置に関する法律案,0
"菅直人君,神崎武法君,小沢一郎君,伊藤英成君,坂口力君,野田毅君,池田元久君,枝野幸男君,古川元久君,石井啓一君,西川知雄君,谷口隆義君,鈴木淑夫君",金融再生委員会設置法案,0
"菅直人君,神崎武法君,小沢一郎君,伊藤英成君,坂口力君,野田毅君,池田元久君,枝野幸男君,古川元久君,石井啓一君,西川知雄君,谷口隆義君,鈴木淑夫君",預金保険法の一部を改正する法律案,0
